SourceSystemIdentifier,SourceSystem,Title,AssignmentCategory,AssignmentDescription,StartDateTime,EndDateTime,DueDateTime,SubmissionType,MaxPoints,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
2942252018,BestLMS,Graphing Inequalities,Assignment,Complete the Khan Academy unit: Graphing Inequalities. Post a screenshot of your test results as the homework.,11/3/21 23:59,11/4/21 23:59,11/5/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252020,BestLMS,Standard Form,Assignment,Complete the Khan Academy unit: Standard Form. Post a screenshot of your test results as the homework.,11/10/21 23:59,11/11/21 23:59,11/12/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942252020,BestLMS,Standard Form,Assignment,Complete the Khan Academy unit: Standard Form. Post a screenshot of your test results as the homework.,11/10/21 23:59,11/11/21 23:59,11/12/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252021,BestLMS,Point Slope Form,Assignment,Complete the Khan Academy unit: Point Slope Form. Post a screenshot of your test results as the homework.,11/15/21 23:59,11/16/21 23:59,11/17/21 23:59,online_upload,100,123456780,8/20/21 12:34,8/20/21 12:34,,
2942252021,BestLMS,Point Slope Form,Assignment,Complete the Khan Academy unit: Point Slope Form. Post a screenshot of your test results as the homework.,11/15/21 23:59,11/16/21 23:59,11/17/21 23:59,online_upload,100,123456790,8/20/21 12:34,8/20/21 12:34,,
2942252026,BestLMS,Compare & Contrast,Assignment,Compare & Contrast: Mixed Genre Quiz,8/30/21 23:59,9/1/21 23:59,9/1/21 23:59,online_quiz,100,123456789,8/20/21 12:34,8/20/21 12:34,,
2942252026,BestLMS,Compare & Contrast,Assignment,Compare & Contrast: Mixed Genre Quiz,8/30/21 23:59,9/1/21 23:59,9/1/21 23:59,online_quiz,100,123456791,8/21/21 12:34,8/21/21 12:34,,
2942252028,BestLMS,Grammar,Assignment,Fill-in-the-Blank Grammar Quiz,9/2/21 23:59,9/3/21 23:59,9/6/21 23:59,online_quiz,100,123456789,8/22/21 12:34,8/22/21 12:34,,
2942252028,BestLMS,Grammar,Assignment,Fill-in-the-Blank Grammar Quiz,9/2/21 23:59,9/3/21 23:59,9/6/21 23:59,online_quiz,100,123456791,8/23/21 12:34,8/23/21 12:34,,
2942252030,BestLMS,Literature,Assignment,To Kill a Mockingbird Essay,9/20/21 23:59,9/22/21 23:59,9/23/21 23:59,online_upload,100,123456789,8/24/21 12:34,8/24/21 12:34,,
2942252030,BestLMS,Literature,Assignment,To Kill a Mockingbird Essay,9/20/21 23:59,9/22/21 23:59,9/23/21 23:59,online_upload,100,123456791,8/25/21 12:34,8/25/21 12:34,,
2942252032,BestLMS,Literature,Assignment,Romeo & Juliet Character Analysis,9/29/21 23:59,9/30/21 23:59,10/1/21 23:59,online_upload,100,123456789,8/26/21 12:34,8/26/21 12:34,,
2942252032,BestLMS,Literature,Assignment,Romeo & Juliet Character Analysis,9/29/21 23:59,9/30/21 23:59,10/1/21 23:59,online_upload,100,123456791,8/27/21 12:34,8/27/21 12:34,,
2942252034,BestLMS,Literature,Assignment,Animal Farm Quiz,9/29/21 23:59,9/30/21 23:59,10/1/21 23:59,online_quiz,100,123456789,8/28/21 12:34,8/28/21 12:34,,
2942252034,BestLMS,Literature,Assignment,Animal Farm Quiz,9/29/21 23:59,9/30/21 23:59,10/1/21 23:59,online_quiz,100,123456791,8/29/21 12:34,8/29/21 12:34,,
2942252036,BestLMS,"Main Idea, Inference",Assignment,Finding Main Idea Quiz,10/7/21 23:59,10/8/21 23:59,10/8/21 23:59,online_quiz,100,123456789,8/30/21 12:34,8/30/21 12:34,,
2942252036,BestLMS,"Main Idea, Inference",Assignment,Finding Main Idea Quiz,10/7/21 23:59,10/8/21 23:59,10/8/21 23:59,online_quiz,100,123456791,8/31/21 12:34,8/31/21 12:34,,
2942252038,BestLMS,Vocabulary,Assignment,Vocabulary Review,10/18/21 23:59,10/19/21 23:59,10/20/21 23:59,online_upload,100,123456789,9/1/21 12:34,9/1/21 12:34,,
2942252038,BestLMS,Vocabulary,Assignment,Vocabulary Review,10/18/21 23:59,10/19/21 23:59,10/20/21 23:59,online_upload,100,123456791,9/2/21 12:34,9/2/21 12:34,,
2942252040,BestLMS,Vocabulary,Assignment,Vocabulary Quiz,10/27/21 23:59,10/28/21 23:59,10/29/21 23:59,online_quiz,100,123456789,9/3/21 12:34,9/3/21 12:34,,
2942252040,BestLMS,Vocabulary,Assignment,Vocabulary Quiz,10/27/21 23:59,10/28/21 23:59,10/29/21 23:59,online_quiz,100,123456791,9/4/21 12:34,9/4/21 12:34,,
2942252042,BestLMS,Writing,Assignment,Elements of an argumentative piece,11/3/21 23:59,11/4/21 23:59,11/5/21 23:59,online_upload,100,123456789,9/5/21 12:34,9/5/21 12:34,,
2942252042,BestLMS,Writing,Assignment,Elements of an argumentative piece,11/3/21 23:59,11/4/21 23:59,11/5/21 23:59,online_upload,100,123456791,9/6/21 12:34,9/6/21 12:34,,
2942252044,BestLMS,Writing,Assignment,Persuasive Writing,11/10/21 23:59,11/11/21 23:59,11/12/21 23:59,online_upload,100,123456789,9/7/21 12:34,9/7/21 12:34,,
2942252044,BestLMS,Writing,Assignment,Persuasive Writing,11/10/21 23:59,11/11/21 23:59,11/12/21 23:59,online_upload,100,123456791,9/8/21 12:34,9/8/21 12:34,,
2942252046,BestLMS,Writing,Assignment,Analyzing short fiction,11/15/21 23:59,11/16/21 23:59,11/17/21 23:59,online_upload,100,123456789,9/9/21 12:34,9/9/21 12:34,,
2942252046,BestLMS,Writing,Assignment,Analyzing short fiction,11/15/21 23:59,11/16/21 23:59,11/17/21 23:59,online_upload,100,123456791,9/10/21 12:34,9/10/21 12:34,,
